Array Size,Threads,Cutoff,Avg Time (ms)
2000000,32,630000,87
2000000,32,640000,87
2000000,32,650000,87
2000000,32,660000,87
2000000,32,670000,89
2000000,32,680000,88
2000000,32,690000,88
2000000,32,700000,89
2000000,32,710000,88
2000000,32,720000,88
2000000,32,730000,88
2000000,32,740000,87
2000000,32,750000,88
2000000,64,510000,88
2000000,64,520000,87
2000000,64,530000,87
2000000,64,540000,87
2000000,64,550000,88
2000000,64,560000,88
2000000,64,570000,87
2000000,64,580000,88
2000000,64,590000,89
2000000,64,600000,88
2000000,64,610000,88
2000000,64,620000,88
2000000,64,630000,89
2000000,64,640000,89
2000000,64,650000,89
2000000,64,660000,88
2000000,64,670000,88
2000000,64,680000,88
2000000,64,690000,88
2000000,64,700000,88
2000000,64,710000,87
2000000,64,720000,88
2000000,64,730000,87
2000000,64,740000,88
2000000,64,750000,88
2000000,128,510000,87
2000000,128,520000,87
2000000,128,530000,87
2000000,128,540000,87
2000000,128,550000,87
2000000,128,560000,87
2000000,128,570000,87
2000000,128,580000,87
2000000,128,590000,89
2000000,128,600000,88
2000000,128,610000,88
2000000,128,620000,88
2000000,128,630000,89
2000000,128,640000,88
2000000,128,650000,88
2000000,128,660000,88
2000000,128,670000,88
2000000,128,680000,88
2000000,128,690000,88
2000000,128,700000,88
2000000,128,710000,87
2000000,128,720000,87
2000000,128,730000,88
2000000,128,740000,88
2000000,128,750000,87
